Name,Conflict,Casualties,Start Year,End Year,Type,Coordinates,URL,Conflict_URL
Battle of Berlin,World War II,1298745,1945,1945,Siege,"52.516667, 13.383333",https://en.wikipedia.org/wiki/Battle_of_Berlin,https://en.wikipedia.org/wiki/World_War_II
Battle of Bijapur,Mughal Conquest,17000,1685,1686,Battle,"16.8276, 75.7087",https://en.wikipedia.org/wiki/Siege_of_Bijapur,https://en.wikipedia.org/wiki/Mughal_Empire
Battle of Binakayan-Dalahican,Philippine Revolutionary War,15000,1896,1896,Battle,"14.27, 120.87",https://en.wikipedia.org/wiki/Battle_of_Binakayan-Dalahican,https://en.wikipedia.org/wiki/Philippine_Revolution
Battle of Blenheim,War of the Spanish Succession,51804,1704,1704,Battle,"48.633333, 10.633333",https://en.wikipedia.org/wiki/Battle_of_Blenheim,https://en.wikipedia.org/wiki/War_of_the_Spanish_Succession
Battle of Blood River,Zulu purge of the Voortrekkers,3000,1838,1838,Battle,"-28.105278, 30.541667",https://en.wikipedia.org/wiki/Battle_of_Blood_River,https://en.wikipedia.org/wiki/Great_Trek
Battle of Borodino,French invasion of Russia,74000,1812,1812,Battle,"55.516667, 35.816667",https://en.wikipedia.org/wiki/Battle_of_Borodino,https://en.wikipedia.org/wiki/French_invasion_of_Russia
Battle of Bregalnica,Second Balkan War,36620,1913,1913,Operation,"41.6, 21.916667",https://en.wikipedia.org/wiki/Battle_of_Bregalnica,https://en.wikipedia.org/wiki/Second_Balkan_War
Battle of Byeokjegwan,Japanese invasions of Korea (1592-98),6000,1593,1593,Battle,"37.566667, 126.966667 ",https://en.wikipedia.org/wiki/Battle_of_Byeokjegwan,https://en.wikipedia.org/wiki/Japanese_invasions_of_Korea_(1592%E2%80%9398)
Battle of Cambrai,World War I,89000,1917,1917,Operation,"50.176667, 3.235556",https://en.wikipedia.org/wiki/Battle_of_Cambrai_(1917),https://en.wikipedia.org/wiki/World_War_I
Battle of Cannae,Second Punic War,92000,216 BC,216 BC,Battle,"41.306389, 16.1325",https://en.wikipedia.org/wiki/Battle_of_Cannae,https://en.wikipedia.org/wiki/Second_Punic_War
Battle of Caporetto,World War I,375000,1917,1917,Operation,"46.214444, 13.6425",https://en.wikipedia.org/wiki/Battle_of_Caporetto,https://en.wikipedia.org/wiki/World_War_I
Battle of Carrhae,Roman-Persian Wars,24000,53 BC,53 BC,Battle,"36.8775, 39.033889",https://en.wikipedia.org/wiki/Battle_of_Carrhae,https://en.wikipedia.org/wiki/Roman%E2%80%93Persian_Wars
Battle of Chaeronea,Rise of Macedon,20000,338 BC,338 BC,Battle,"38.516667, 22.85",https://en.wikipedia.org/wiki/Battle_of_Chaeronea_(338_BC),https://en.wikipedia.org/wiki/Rise_of_Macedon
Battle of Chancellorsville,American Civil War,30500,1863,1863,Operation,"38.3105, -77.6484",https://en.wikipedia.org/wiki/Battle_of_Chancellorsville,https://en.wikipedia.org/wiki/American_Civil_War
Battle of Changde,Second Sino-Japanese War,31000,1943,1943,Siege,"29.0333, 111.683",https://en.wikipedia.org/wiki/Battle_of_Changde,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Battle of Changping,Qin's wars of unification,700000,262 BC,260 BC,Battle,"35.8, 112.933333",https://en.wikipedia.org/wiki/Battle_of_Changping,https://en.wikipedia.org/wiki/Qin%27s_wars_of_unification
Battle of Chickamauga,American Civil War,34000,1863,1863,Battle,"34.9176, -85.2606",https://en.wikipedia.org/wiki/Battle_of_Chickamauga,https://en.wikipedia.org/wiki/American_Civil_War
Battle of Chungju,Japanese invasions of Korea (1592-98),100000,1592,1592,Battle,"36.966667, 127.95",https://en.wikipedia.org/wiki/Battle_of_Chungju,https://en.wikipedia.org/wiki/Japanese_invasions_of_Korea_(1592%E2%80%9398)
Battle of Crete,World War II,16007,1941,1941,Operation,"35.216667, 24.916667",https://en.wikipedia.org/wiki/Battle_of_Crete,https://en.wikipedia.org/wiki/World_War_II
Battle of Didgori,Georgian-Seljuk wars,210000,1121,1121,Battle,"41.683333, 44.516667",https://en.wikipedia.org/wiki/Battle_of_Didgori,https://en.wikipedia.org/wiki/Georgian%E2%80%93Seljuk_wars
Battle of Dien Bien Phu,First Indochina War,31500,1954,1954,Operation,"21.386944, 103.015556",https://en.wikipedia.org/wiki/Battle_of_Dien_Bien_Phu,https://en.wikipedia.org/wiki/First_Indochina_War
