Name,Conflict,Casualties,Start Year,End Year,Type,Coordinates,URL,Conflict_URL
Battle of the Ebro,Spanish Civil War,106500,1938,1938,Operation,"41.163889, 0.475",https://en.wikipedia.org/wiki/Battle_of_the_Ebro,https://en.wikipedia.org/wiki/Spanish_Civil_War
Battle of the Granicus,Wars of Alexander the Great,10600,334 BC,334 BC,Battle,"40.228056, 27.242222",https://en.wikipedia.org/wiki/Battle_of_the_Granicus,https://en.wikipedia.org/wiki/Wars_of_Alexander_the_Great
Battle of the Hydaspes,Wars of Alexander the Great,44960,326 BC,326 BC,Battle,"32.827778, 73.638889",https://en.wikipedia.org/wiki/Battle_of_the_Hydaspes,https://en.wikipedia.org/wiki/Wars_of_Alexander_the_Great
Battle of the Kalka River,Mongol invasion of Rus',20000,1223,1223,Battle,"47.250789, 37.495686",https://en.wikipedia.org/wiki/Battle_of_the_Kalka_River,https://en.wikipedia.org/wiki/Mongol_invasion_of_Rus%27
Battle of the Kerch Peninsula,World War II,176000,1942,1942,Operation,"45.3, 34.4",https://en.wikipedia.org/wiki/Battle_of_the_Kerch_Peninsula,https://en.wikipedia.org/wiki/World_War_II
Battle of the Metaurus,Second Punic War,12000,207 BC,207 BC,Battle,"43.7824, 13.0145",https://en.wikipedia.org/wiki/Battle_of_the_Metaurus,https://en.wikipedia.org/wiki/Second_Punic_War
Battle of the Rhineland,World War II,250000,1945,1945,Operation,"51.981667, 4.080556",https://en.wikipedia.org/wiki/Allied_advance_from_Paris_to_the_Rhine#Germany_west_of_the_Rhine,https://en.wikipedia.org/wiki/World_War_II
Battle of the Somme,World War I,1120000,1916,1916,Operation,"50.016667, 2.683333",https://en.wikipedia.org/wiki/Battle_of_the_Somme,https://en.wikipedia.org/wiki/World_War_I
Battle of the Teutoburg Forest,Roman-Germanic wars,20000,9,9,Battle,"52.408056, 8.129444",https://en.wikipedia.org/wiki/Battle_of_the_Teutoburg_Forest,https://en.wikipedia.org/wiki/Germanic_Wars
Battle of the Trebia,Second Punic War,35000,218 BC,218 BC,Battle,"45.05, 9.6",https://en.wikipedia.org/wiki/Battle_of_the_Trebia,https://en.wikipedia.org/wiki/Second_Punic_War
Battle of Thermopylae,Greco-Persian Wars,22500,480 BC,480 BC,Battle,"38.796611, 22.536722",https://en.wikipedia.org/wiki/Battle_of_Thermopylae,https://en.wikipedia.org/wiki/Greco-Persian_Wars
Battle of Thymbra,Lydian-Persian War,100000,547 BC,547 BC,Battle,"39.9575, 26.238889",https://en.wikipedia.org/wiki/Battle_of_Thymbra,https://en.wikipedia.org/wiki/Cyrus_the_Great
Battle of Towton,Wars of the Roses,28000,1461,1461,Battle,"53.836111, -1.273611",https://en.wikipedia.org/wiki/Battle_of_Towton,https://en.wikipedia.org/wiki/Wars_of_the_Roses
Battle of Tuyuti,Paraguayan War,16000,1866,1866,Battle,"-27.204444, -58.548056",https://en.wikipedia.org/wiki/Battle_of_Tuyut%C3%AD,https://en.wikipedia.org/wiki/Paraguayan_War
Battle of Ullais,Muslim conquest of Persia,35000,633,633,Battle,"31.859845, 44.634407",https://en.wikipedia.org/wiki/Battle_of_Ullais,https://en.wikipedia.org/wiki/Muslim_conquest_of_Persia
Battle of Verdun,World War I,976000,1916,1916,Operation,"49.208056, 5.421944",https://en.wikipedia.org/wiki/Battle_of_Verdun,https://en.wikipedia.org/wiki/World_War_I
Battle of Vienna,Ottoman-Habsburg wars,19500,1683,1683,Battle,"48.2, 16.366667",https://en.wikipedia.org/wiki/Battle_of_Vienna,https://en.wikipedia.org/wiki/Ottoman%E2%80%93Habsburg_wars
Battle of Vitoria,Peninsular War,13000,1813,1813,Battle,"42.85, -2.683333",https://en.wikipedia.org/wiki/Battle_of_Vitoria,https://en.wikipedia.org/wiki/Peninsular_War
Battle of Wagram,War of the Fifth Coalition,77000,1809,1809,Battle,"48.299444, 16.564444",https://en.wikipedia.org/wiki/Battle_of_Wagram,https://en.wikipedia.org/wiki/War_of_the_Fifth_Coalition
Battle of Walaja,Muslim conquest of Persia,22000,636,636,Battle,"31.391608, 44.668483",https://en.wikipedia.org/wiki/Battle_of_Walaja,https://en.wikipedia.org/wiki/Muslim_conquest_of_Persia
Battle of Warsaw,Polish-Soviet War,162000,1920,1920,Operation,"52.3, 20.816667",https://en.wikipedia.org/wiki/Battle_of_Warsaw_(1920),https://en.wikipedia.org/wiki/Polish%E2%80%93Soviet_War
Battle of Waterloo,Hundred Days,47000,1815,1815,Battle,"50.68016, 4.41169",https://en.wikipedia.org/wiki/Battle_of_Waterloo,https://en.wikipedia.org/wiki/Hundred_Days
Battle of Watling Street,Iceni Revolt,80400,61,61,Battle,"52.65625, -1.927139",https://en.wikipedia.org/wiki/Battle_of_Watling_Street,https://en.wikipedia.org/wiki/Boudica
Battle of West Hubei,Second Sino-Japanese War,85830,1943,1943,Siege,"31.2, 112.3",https://en.wikipedia.org/wiki/Battle_of_West_Hubei,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Battle of West Hunan,Second Sino-Japanese War,44000,1945,1945,Operation,"27.4, 111.8",https://en.wikipedia.org/wiki/Battle_of_West_Hunan,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Battle of Wuhan,Second Sino-Japanese War,540000,1938,1938,Siege,"30.5667, 114.267",https://en.wikipedia.org/wiki/Battle_of_Wuhan,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Battle of Xinkou,Second Sino-Japanese War,120000,1937,1937,Siege,"38, 112",https://en.wikipedia.org/wiki/Battle_of_Xinkou,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Battle of Xuzhou,Second Sino-Japanese War,130000,1938,1938,Operation,"34.2667, 117.167",https://en.wikipedia.org/wiki/Battle_of_Xuzhou,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Battle of Yamen,Mongol conquest of the Song dynasty,100000,1279,1279,Battle,"22.188, 113.073",https://en.wikipedia.org/wiki/Battle_of_Yamen,https://en.wikipedia.org/wiki/Mongol_conquest_of_the_Song_dynasty
Battle of Yarmouk,Arab-Byzantine wars,70000,636,636,Battle,"32.81411, 35.95482",https://en.wikipedia.org/wiki/Battle_of_Yarmouk,https://en.wikipedia.org/wiki/Arab%E2%80%93Byzantine_wars
Battle of Zama,Second Punic War,21500,202 BC,202 BC,Battle,"36.298889, 9.449167",https://en.wikipedia.org/wiki/Battle_of_Zama,https://en.wikipedia.org/wiki/Second_Punic_War
Battle of Zenta,Ottoman-Habsburg wars,30300,1697,1697,Battle,"45.933333, 20.083333",https://en.wikipedia.org/wiki/Battle_of_Zenta,https://en.wikipedia.org/wiki/Ottoman%E2%80%93Habsburg_wars
Battle of Zorndorf,Seven Years' War,30000,1758,1758,Battle,"52.65, 14.666667",https://en.wikipedia.org/wiki/Battle_of_Zorndorf,https://en.wikipedia.org/wiki/Seven_Years%27_War
Battles of Khalkhin Gol,Soviet-Japanese border conflicts,50000,1939,1939,Operation,"47.730278, 118.59",https://en.wikipedia.org/wiki/Battles_of_Khalkhin_Gol,https://en.wikipedia.org/wiki/Soviet%E2%80%93Japanese_border_conflicts
Bougainville Campaign,World War II,21000,1943,1945,Operation,"-6.133333, 155.3",https://en.wikipedia.org/wiki/Bougainville_Campaign,https://en.wikipedia.org/wiki/World_War_II
Brusilov Offensive,World War I,2337000,1916,1916,Operation,"51.216667, 24.716667",https://en.wikipedia.org/wiki/Brusilov_Offensive,https://en.wikipedia.org/wiki/World_War_I
Burma Campaigns,World War II,700000,1942,1945,Operation,"16.85, 96.183333",https://en.wikipedia.org/wiki/Burma_Campaign,https://en.wikipedia.org/wiki/World_War_II
Dnieper Campaign,World War II,2480000,1943,1943,Operation,"46.5, 32.333333",https://en.wikipedia.org/wiki/Battle_of_the_Dnieper,https://en.wikipedia.org/wiki/World_War_II
Easter Offensive,Vietnam War,181500,1972,1972,Operation,"10.75, 106.666667",https://en.wikipedia.org/wiki/Easter_Offensive,https://en.wikipedia.org/wiki/Vietnam_War
Falaise pocket,World War II,140000,1944,1944,Operation,"48.892778, -0.191944",https://en.wikipedia.org/wiki/Falaise_Pocket,https://en.wikipedia.org/wiki/World_War_II
First Battle of Breitenfeld,Thirty Years' War,32550,1631,1631,Battle,"51.4, 12.333333",https://en.wikipedia.org/wiki/Battle_of_Breitenfeld_(1631),https://en.wikipedia.org/wiki/Thirty_Years%27_War
First Battle of Catalca,First Balkan War,22000,1912,1912,Operation,"41.141667, 28.463056",https://en.wikipedia.org/wiki/First_Battle_of_%C3%87atalca,https://en.wikipedia.org/wiki/First_Balkan_War
First Battle of Changsha,Second Sino-Japanese War,80000,1939,1939,Siege,"28.2, 112.967",https://en.wikipedia.org/wiki/Battle_of_Changsha_(1939),https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
First Battle of Panipat,Mughal Conquest,50000,1526,1526,Battle,"29.39, 76.97",https://en.wikipedia.org/wiki/First_Battle_of_Panipat,https://en.wikipedia.org/wiki/Mughal_Empire
First Battle of the Marne,World War I,154401,1914,1914,Operation,"49.016667, 3.383333",https://en.wikipedia.org/wiki/First_Battle_of_the_Marne,https://en.wikipedia.org/wiki/World_War_I
First Battle of Ypres,World War I,104920,1914,1914,Operation,"50.8641, 2.8956",https://en.wikipedia.org/wiki/First_Battle_of_Ypres,https://en.wikipedia.org/wiki/World_War_I
First Jassy-Kishinev Offensive,World War II,195000,1944,1944,Operation,"44.416667, 26.1",https://en.wikipedia.org/wiki/First_Jassy%E2%80%93Kishinev_Offensive,https://en.wikipedia.org/wiki/World_War_II
Gallipoli Campaign,World War I,806500,1915,1916,Operation,"40.35, 26.466667",https://en.wikipedia.org/wiki/Gallipoli_Campaign,https://en.wikipedia.org/wiki/World_War_I
Gorlice-Tarnow Offensive,World War I,637000,1915,1915,Operation,"49.6544, 21.1592",https://en.wikipedia.org/wiki/Gorlice%E2%80%93Tarn%C3%B3w_Offensive,https://en.wikipedia.org/wiki/World_War_I
Great Siege of Malta,Ottoman wars in Europe,40000,1565,1565,Siege,"35.892242, 14.518216",https://en.wikipedia.org/wiki/Great_Siege_of_Malta,https://en.wikipedia.org/wiki/Ottoman_wars_in_Europe
Greco-Italian War,World War II,100000,1940,1941,Operation,"42, 22",https://en.wikipedia.org/wiki/Greco-Italian_War,https://en.wikipedia.org/wiki/World_War_II
Guadalcanal Campaign,World War II,31100,1942,1943,Operation,"-9.445556, 160.020278",https://en.wikipedia.org/wiki/Guadalcanal_Campaign,https://en.wikipedia.org/wiki/World_War_II
Gulf War,Gulf War,25678,1990,1991,Operation,"33, 44",https://en.wikipedia.org/wiki/Gulf_War,https://en.wikipedia.org/wiki/Gulf_War
Huaihai Campaign,Chinese Civil War,689000,1948,1949,Operation,"34.26, 117.21",https://en.wikipedia.org/wiki/Huaihai_Campaign,https://en.wikipedia.org/wiki/Chinese_Civil_War
Hundred Regiments Offensive,Second Sino-Japanese War,62900,1940,1940,Operation,"37.45, 116.3",https://en.wikipedia.org/wiki/Hundred_Regiments_Offensive,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Ichi-Go,Second Sino-Japanese War,1300000,1944,1944,Operation,"23.6, 108.3",https://en.wikipedia.org/wiki/Operation_Ichi-Go,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Invasion of Iraq,Iraq War,34543,2003,2003,Operation,"33, 44",https://en.wikipedia.org/wiki/2003_invasion_of_Iraq,https://en.wikipedia.org/wiki/Iraq_War
Invasion of Manchuria,Second Sino-Japanese War,35000,1931,1932,Operation,"45, 125",https://en.wikipedia.org/wiki/Japanese_invasion_of_Manchuria,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Invasion of North Korea,Korean War,51700,1950,1950,Operation,"40, 127","https://en.wikipedia.org/wiki/UN_Offensive,_1950",https://en.wikipedia.org/wiki/Korean_War
Invasion of Poland,World War II,310000,1939,1939,Operation,"52.216667, 21",https://en.wikipedia.org/wiki/Invasion_of_Poland,https://en.wikipedia.org/wiki/World_War_II
Liaoshen Campaign,Chinese Civil War,542000,1948,1948,Operation,"45, 125",https://en.wikipedia.org/wiki/Liaoshen_Campaign,https://en.wikipedia.org/wiki/Chinese_Civil_War
Monastir Offensive,World War I,191000,1916,1916,Operation,"41.0319, 21.4167",https://en.wikipedia.org/wiki/Monastir_Offensive,https://en.wikipedia.org/wiki/World_War_I
Nivelle Offensive,World War I,515183,1917,1917,Operation,"49.5, 3.5",https://en.wikipedia.org/wiki/Nivelle_Offensive,https://en.wikipedia.org/wiki/World_War_I
Normandy landings,World War II,19000,1944,1944,Operation,"49.333333, -0.566667",https://en.wikipedia.org/wiki/Normandy_landings,https://en.wikipedia.org/wiki/World_War_II
Operation Bagration,World War II,1430000,1944,1944,Operation,"54, 29",https://en.wikipedia.org/wiki/Operation_Bagration,https://en.wikipedia.org/wiki/World_War_II
Operation Barbarossa,World War II,5000000,1941,1941,Operation,"50, 30",https://en.wikipedia.org/wiki/Operation_Barbarossa,https://en.wikipedia.org/wiki/World_War_II
Operation Iskra,World War II,129332,1943,1943,Operation,"59.9, 31.067",https://en.wikipedia.org/wiki/Operation_Iskra,https://en.wikipedia.org/wiki/World_War_II
Operation Market Garden,World War II,27200,1944,1944,Operation,"51.983333, 5.916667",https://en.wikipedia.org/wiki/Operation_Market_Garden,https://en.wikipedia.org/wiki/World_War_II
Operation OAU,Nigerian Civil War,30000,1968,1968,Operation,"8, 10",https://en.wikipedia.org/wiki/Operation_OAU,https://en.wikipedia.org/wiki/Nigerian_Civil_War
Operation Shingle,World War II,52200,1944,1944,Operation,"41.443022, 12.624979",https://en.wikipedia.org/wiki/Battle_of_Anzio,https://en.wikipedia.org/wiki/World_War_II
Operation Weserubung,World War II,12800,1940,1940,Operation,"64, -12",https://en.wikipedia.org/wiki/Operation_Weser%C3%BCbung,https://en.wikipedia.org/wiki/World_War_II
Overland Campaign,American Civil War,92000,1864,1864,Operation,"37.5, -79",https://en.wikipedia.org/wiki/Overland_Campaign,https://en.wikipedia.org/wiki/American_Civil_War
Peninsula Campaign,American Civil War,36463,1862,1862,Operation,"37.273889, -76.609722",https://en.wikipedia.org/wiki/Peninsula_Campaign,https://en.wikipedia.org/wiki/American_Civil_War
Pingjin Campaign,Chinese Civil War,560000,1948,1949,Operation,"39.3, 116.7",https://en.wikipedia.org/wiki/Pingjin_Campaign,https://en.wikipedia.org/wiki/Chinese_Civil_War
Romanian Campaign,World War I,842000,1916,1918,Operation,"46, 25",https://en.wikipedia.org/wiki/Romania_during_World_War_I,https://en.wikipedia.org/wiki/World_War_I
Sack of Magdeburg,Thirty Years' War,26900,1631,1631,Siege,"52.133333, 11.616667",https://en.wikipedia.org/wiki/Sack_of_Magdeburg,https://en.wikipedia.org/wiki/Thirty_Years%27_War
Second Battle of Artois,World War I,231190,1915,1915,Operation,"50.5, 2.75",https://en.wikipedia.org/wiki/Second_Battle_of_Artois,https://en.wikipedia.org/wiki/World_War_I
Second Battle of Champagne-Third Battle of Artois,World War I,217500,1915,1915,Operation,"49, 4",https://en.wikipedia.org/wiki/Second_Battle_of_Champagne,https://en.wikipedia.org/wiki/World_War_I
Second Battle of El Alamein,World War II,82500,1942,1942,Operation,"30.833333, 28.95",https://en.wikipedia.org/wiki/Second_Battle_of_El_Alamein,https://en.wikipedia.org/wiki/World_War_II
Second Battle of Kharkov,World War II,300000,1942,1942,Operation,"50.004444, 36.231389",https://en.wikipedia.org/wiki/Second_Battle_of_Kharkov,https://en.wikipedia.org/wiki/World_War_II
Second Battle of the Marne,World War I,301084,1918,1918,Operation,"49.083333, 3.666667",https://en.wikipedia.org/wiki/Second_Battle_of_the_Marne,https://en.wikipedia.org/wiki/World_War_I
Second Battle of Ypres,World War I,116248,1915,1915,Operation,"50.891, 2.979",https://en.wikipedia.org/wiki/Second_Battle_of_Ypres,https://en.wikipedia.org/wiki/World_War_I
Second Jassy-Kishinev Offensive,World War II,485424,1944,1944,Operation,"47, 28.916667",https://en.wikipedia.org/wiki/Jassy%E2%80%93Kishinev_Offensive,https://en.wikipedia.org/wiki/World_War_II
Second Siege of Zaragoza,Peninsular War,64000,1808,1809,Siege,"41.65, -0.8833",https://en.wikipedia.org/wiki/Second_Siege_of_Zaragoza,https://en.wikipedia.org/wiki/Peninsular_War
Serbian Campaign (1915 AD),World War I,331000,1915,1916,Operation,"44.816667, 20.466667",https://en.wikipedia.org/wiki/Serbian_Campaign_of_World_War_I#1915,https://en.wikipedia.org/wiki/World_War_I
Shanghai Campaign,Chinese Civil War,213073,1949,1949,Operation,"31.228611, 121.474722",https://en.wikipedia.org/wiki/Shanghai_Campaign,https://en.wikipedia.org/wiki/Chinese_Civil_War
Siege of Adrianople,First Balkan War,93282,1912,1913,Siege,"41.6744, 26.5608",https://en.wikipedia.org/wiki/Siege_of_Adrianople_(1912%E2%80%9313),https://en.wikipedia.org/wiki/First_Balkan_War
Siege of Baghdad,Mongol conquests,2100000,1258,1258,Siege,"33.3333, 44.4333",https://en.wikipedia.org/wiki/Siege_of_Baghdad_(1258),https://en.wikipedia.org/wiki/Mongol_invasions_and_conquests
Siege of Budapest,World War II,422000,1944,1945,Siege,"47.4925, 19.051389",https://en.wikipedia.org/wiki/Siege_of_Budapest,https://en.wikipedia.org/wiki/World_War_II
Siege of Changchun,Chinese Civil War,425000,1948,1948,Siege,"43.9, 125.2",https://en.wikipedia.org/wiki/Siege_of_Changchun,https://en.wikipedia.org/wiki/Chinese_Civil_War
Siege of Constantinople,Arab-Byzantine wars,170000,717,718,Siege,"41.01224, 28.976018",https://en.wikipedia.org/wiki/Siege_of_Constantinople_(717%E2%80%93718),https://en.wikipedia.org/wiki/Arab%E2%80%93Byzantine_wars
Siege of Jerusalem (1099 AD),First Crusade,40000,1099,1099,Siege,"31.7833, 35.2167",https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(1099),https://en.wikipedia.org/wiki/First_Crusade
Siege of Jerusalem (70 AD),First Jewish-Roman War,70000,70,70,Siege,"31.778056, 35.235833",https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(AD_70),https://en.wikipedia.org/wiki/First_Jewish%E2%80%93Roman_War
Siege of Jinji,Mughal Conquest,16000,1690,1698,Siege,"12.2639, 79.0444",https://en.wikipedia.org/wiki/Siege_of_Jinji,https://en.wikipedia.org/wiki/Mughal_Empire
Siege of La Rochelle,French Wars of Religion,18600,1627,1628,Siege,"46.1667, -1.15",https://en.wikipedia.org/wiki/Siege_of_La_Rochelle,https://en.wikipedia.org/wiki/French_Wars_of_Religion
Siege of Leningrad,World War II,4500000,1941,1944,Siege,"59.930248, 30.319061",https://en.wikipedia.org/wiki/Siege_of_Leningrad,https://en.wikipedia.org/wiki/World_War_II
Siege of Odessa,World War II,133813,1941,1941,Siege,"46.485722, 30.743444",https://en.wikipedia.org/wiki/Siege_of_Odessa_(1941),https://en.wikipedia.org/wiki/World_War_II
Siege of Petersburg,American Civil War,70000,1864,1865,Siege,"37.2176, -77.3771",https://en.wikipedia.org/wiki/Siege_of_Petersburg,https://en.wikipedia.org/wiki/American_Civil_War
Siege of Plevna,Russo-Turkish War,65000,1877,1877,Siege,"43.416667, 24.616667",https://en.wikipedia.org/wiki/Siege_of_Plevna,https://en.wikipedia.org/wiki/Russo-Turkish_War_(1877%E2%80%931878)
Siege of Port Arthur,Russo-Japanese War,100000,1904,1905,Siege,"38.8125, 121.241667",https://en.wikipedia.org/wiki/Siege_of_Port_Arthur,https://en.wikipedia.org/wiki/Russo-Japanese_War
Siege of Rhodes,Ottoman wars in Europe,11000,1522,1522,Siege,"36.166667, 28",https://en.wikipedia.org/wiki/Siege_of_Rhodes_(1522),https://en.wikipedia.org/wiki/Ottoman_wars_in_Europe
Siege of Sarajevo,Bosnian War,62000,1992,1996,Siege,"43.8476, 18.3564",https://en.wikipedia.org/wiki/Siege_of_Sarajevo,https://en.wikipedia.org/wiki/Bosnian_War
Siege of Sidon,Phoenician rebellion against Persia,40000,343 BC,343 BC,Siege,"33.560556, 35.398056",https://en.wikipedia.org/wiki/Artaxerxes_III#Rebellion_of_Cyprus_and_Sidon,https://en.wikipedia.org/wiki/Artaxerxes_III#Rebellion_of_Cyprus_and_Sidon
Siege of Tenochtitlan,Spanish conquest of the Aztec Empire,240000,1521,1521,Siege,"19.435, -99.1314",https://en.wikipedia.org/wiki/Fall_of_Tenochtitlan,https://en.wikipedia.org/wiki/Spanish_conquest_of_the_Aztec_Empire
Siege of Ulsan,Japanese invasions of Korea (1592-98),20000,343 BC,343 BC,Siege,"35.55466, 129.3394",https://en.wikipedia.org/wiki/Siege_of_Ulsan,https://en.wikipedia.org/wiki/Japanese_invasions_of_Korea_(1592%E2%80%9398)
Siege of Vicksburg,American Civil War,19000,1863,1863,Siege,"32.3436, -90.8511",https://en.wikipedia.org/wiki/Siege_of_Vicksburg,https://en.wikipedia.org/wiki/American_Civil_War
Six Days' Campaign,War of the Sixth Coalition,21150,1814,1814,Operation,"47, 2",https://en.wikipedia.org/wiki/Six_Days%27_Campaign,https://en.wikipedia.org/wiki/War_of_the_Sixth_Coalition
Spring Offensive,World War I,1544715,1918,1918,Operation,"50.002778, 2.652778",https://en.wikipedia.org/wiki/Spring_Offensive,https://en.wikipedia.org/wiki/World_War_I
Tenth Battle of the Isonzo,World War I,225000,1917,1917,Operation,"46, 13.633333",https://en.wikipedia.org/wiki/Tenth_Battle_of_the_Isonzo,https://en.wikipedia.org/wiki/World_War_I
Tet Offensive,Vietnam War,321100,1968,1968,Operation,"10.75, 106.666667",https://en.wikipedia.org/wiki/Tet_Offensive,https://en.wikipedia.org/wiki/Vietnam_War
Third Battle of Changsha,Second Sino-Japanese War,32000,1941,1942,Siege,"28.2, 112.967",https://en.wikipedia.org/wiki/Battle_of_Changsha_(1942),https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Third Battle of Nanking,Taiping Rebellion,230000,1864,1864,Siege,"32.05, 118.766667",https://en.wikipedia.org/wiki/Third_Battle_of_Nanking,https://en.wikipedia.org/wiki/Taiping_Rebellion
Third Battle of Panipat,Marathan Empire,200000,1761,1761,Battle,"29.39, 76.97",https://en.wikipedia.org/wiki/Third_Battle_of_Panipat,https://en.wikipedia.org/wiki/Maratha_Empire
Third Battle of Ypres,World War I,858614,1917,1917,Operation,"50.900278, 3.021111",https://en.wikipedia.org/wiki/Battle_of_Passchendaele,https://en.wikipedia.org/wiki/World_War_I
Tumu Crisis,Ming-Mongol War,200000,1449,1449,Battle,"40.383333, 115.6",https://en.wikipedia.org/wiki/Tumu_Crisis,https://en.wikipedia.org/wiki/Tumu_Crisis
Ulm Campaign,War of the Third Coalition,62000,1805,1805,Battle,"48.4, 9.983333",https://en.wikipedia.org/wiki/Ulm_Campaign,https://en.wikipedia.org/wiki/War_of_the_Third_Coalition
Warsaw Uprising,World War II,200000,1942,1942,Siege,"52.23, 21.010833",https://en.wikipedia.org/wiki/Warsaw_Uprising,https://en.wikipedia.org/wiki/World_War_II
Winter Offensive,Second Sino-Japanese War,90000,1939,1940,Operation,"27.3, 116",https://en.wikipedia.org/wiki/1939%E2%80%9340_Winter_Offensive,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Winter War,World War II,225000,1939,1940,Operation,"64, 26",https://en.wikipedia.org/wiki/Winter_War,https://en.wikipedia.org/wiki/World_War_II
Yom Kippur War,Arab-Israeli conflict,21688,1973,1973,Operation,"31, 35",https://en.wikipedia.org/wiki/Yom_Kippur_War,https://en.wikipedia.org/wiki/Arab%E2%80%93Israeli_conflict
Zhejiang-Jiangxi Campaign,Second Sino-Japanese War,356000,1942,1942,Operation,"29.2, 120.5",https://en.wikipedia.org/wiki/Zhejiang-Jiangxi_campaign,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
